0 0 A1 1 	0.000000000	0.000e+00	168
0 1 F1 1 	10.481640972	1.000e-06	682
0 2 E 1 	31.442100030	1.000e-06	746
0 2 F2 1 	31.442365893	1.439e-06	1033
0 3 F1 1 	62.875737998	1.000e-06	1333
0 3 F2 1 	62.876709664	1.186e-04	1369
0 3 A2 1 	62.878128983	1.000e-06	686
0 4 A1 1 	104.772781019	1.000e-06	820
0 4 F1 1 	104.774573479	1.183e-04	1616
0 4 E 1 	104.775924793	8.776e-05	1121
0 4 F2 1 	104.779880783	1.182e-04	1507
0 5 F1 1 	157.124359341	2.116e-04	1497
0 5 F2 1 	157.127795387	1.222e-04	1623
0 5 E 1 	157.137086047	1.243e-04	1172
0 5 F1 2 	157.138787355	1.200e-04	1553
0 6 E 1 	219.913334786	1.564e-04	1082
0 6 F2 1 	219.915069124	2.409e-04	1633
0 6 A2 1 	219.919759722	4.688e-05	895
0 6 F2 2 	219.936633104	1.222e-04	1695
0 6 F1 1 	219.941281989	2.567e-04	1673
0 6 A1 1 	219.945138387	3.957e-05	899
0 7 F1 1 	293.123004318	2.418e-04	1318
0 7 F2 1 	293.126580006	2.685e-04	1420
0 7 A2 1 	293.154099451	4.688e-05	956
0 7 F2 2 	293.164584592	2.690e-04	1642
0 7 E 1 	293.170001817	1.791e-04	1070
0 7 F1 2 	293.178695016	2.687e-04	1384
0 8 A1 1 	376.730335490	5.637e-05	838
0 8 F1 1 	376.733745077	3.190e-04	1172
0 8 E 1 	376.735594023	2.875e-04	830
0 8 F2 1 	376.785899820	2.703e-04	1221
0 8 F1 2 	376.804789537	2.706e-04	1258
0 8 E 2 	376.821277908	2.997e-04	888
0 8 F2 2 	376.826280184	2.707e-04	1191
0 9 F1 1 	470.717050692	4.392e-04	850
0 9 F2 1 	470.720361471	3.424e-04	817
0 9 E 1 	470.798914807	2.878e-04	710
0 9 F1 2 	470.805299283	3.184e-04	1113
0 9 A1 1 	470.830855383	6.863e-05	738
0 9 F1 3 	470.855019455	3.208e-04	1127
0 9 F2 2 	470.865076870	3.868e-04	1014
0 9 A2 1 	470.873061780	3.467e-04	666
0 10 E 1 	575.051529143	4.393e-04	488
0 10 F2 1 	575.052739259	4.703e-04	677
0 10 A2 1 	575.055700551	2.915e-04	549
0 10 F2 2 	575.170086304	3.814e-04	770
0 10 F1 1 	575.184387625	4.862e-04	919
0 10 A1 1 	575.222804782	7.397e-05	582
0 10 F1 2 	575.259796193	4.007e-04	867
0 10 E 2 	575.272195474	7.716e-04	604
0 10 F2 3 	575.285098789	7.738e-04	735
0 11 F1 1 	689.705654808	8.053e-04	517
0 11 F2 1 	689.707870621	8.150e-04	512
0 11 A2 1 	689.862345617	2.928e-04	554
0 11 F2 2 	689.877181600	8.051e-04	710
0 11 E 1 	689.886952266	9.722e-04	511
0 11 F1 2 	689.957122640	8.053e-04	639
0 11 F2 3 	690.017906717	8.148e-04	645
0 11 E 2 	690.039121425	8.581e-04	498
0 11 F1 3 	690.049212989	8.053e-04	647
0 12 A1 1 	814.646222020	2.974e-04	395
0 12 F1 1 	814.648117213	9.304e-04	431
0 12 E 1 	814.649267451	1.377e-03	308
0 12 F2 1 	814.866717823	1.073e-03	554
0 12 F1 2 	814.884649857	1.009e-03	548
0 12 E 2 	814.993570219	1.320e-03	412
0 12 F2 2 	815.008299151	9.156e-04	583
0 12 A2 1 	815.089183262	4.069e-04	422
0 12 F2 3 	815.116122127	9.156e-04	544
0 12 F1 3 	815.131733065	9.267e-04	517
0 12 A1 2 	815.143793217	2.974e-04	395
0 13 F1 1 	949.841117180	1.492e-03	302
0 13 F2 1 	949.844522645	1.422e-03	295
0 13 E 1 	950.128378387	1.587e-03	306
0 13 F1 2 	950.136301648	1.357e-03	440
0 13 A1 1 	950.154684597	8.636e-04	366
0 13 F1 3 	950.306357249	1.357e-03	456
0 13 F2 2 	950.336489592	1.500e-03	494
0 13 A2 1 	950.385241437	4.108e-04	350
